osm_type,osm_id,name,name_en,name_km,category,subtype,activities,lat,lon,province,city,address,website,phone,wikipedia,wikidata,description,opening_hours,fee,all_tags_json
node,148819178,Prasat Linga,,,cultural,ruins,,13.7854752,104.5466326,,,,,,,,,,,"{""abandoned:amenity"": ""place_of_worship"", ""building"": ""yes"", ""historic"": ""ruins"", ""name"": ""Prasat Linga"", ""religion"": ""hindu""}"
node,148819180,Prasat Sralau,,,cultural,ruins,,13.7838356,104.5472658,,,,,,,,,,,"{""abandoned:amenity"": ""place_of_worship"", ""building"": ""yes"", ""historic"": ""ruins"", ""name"": ""Prasat Sralau"", ""religion"": ""hindu""}"
node,148819181,Prasat Kra Chap,,,cultural,ruins,,13.7821693,104.5482559,,,,,,,,,,,"{""abandoned:amenity"": ""place_of_worship"", ""building"": ""yes"", ""historic"": ""ruins"", ""name"": ""Prasat Kra Chap"", ""religion"": ""hindu""}"
node,256843249,Kampong Phnow Rapids,,,attraction,attraction,,12.9668671,106.0436376,,,,,,,,,,,"{""name"": ""Kampong Phnow Rapids"", ""tourism"": ""attraction"", ""waterway"": ""rapids""}"
node,256992228,ប្រាសាទព្រះវិហារ,Prasat Preah Vihear,,cultural,yes,,14.3917493,104.6802855,,,,,,en:Preah Vihear Temple,Q45949,,,,"{""abandoned:amenity"": ""place_of_worship"", ""alt_name"": ""Preah Vihear Temple"", ""historic"": ""ruins"", ""int_name"": ""Prasat Preah Vihear"", ""name"": ""ប្រាសាទព្រះវិហារ"", ""name:en"": ""Prasat Preah Vihear"", ""name:th"": ""ปราสาทพระวิหาร"", ""name:zh"": ""柏威夏寺"", ""ruins"": ""prasat"", ""tourism"": ""yes"", ""wikidata"": ""Q45949"", ""wikipedia"": ""en:Preah Vihear Temple""}"
node,325589459,Historic water basin,,,cultural,ruins,,12.8683179,105.0399401,,,,,,,,,,,"{""fixme"": ""position estimated"", ""historic"": ""ruins"", ""landuse"": ""basin"", ""name"": ""Historic water basin""}"
node,328503544,Wat Banan,,,cultural,monument,,12.951103,103.1398479,,,,,,,Q4018495,,,,"{""amenity"": ""place_of_worship"", ""historic"": ""monument"", ""monument"": ""prasat"", ""name"": ""Wat Banan"", ""religion"": ""buddhist"", ""wikidata"": ""Q4018495""}"
node,539342704,Wat Neam Rub,,,cultural,place_of_worship,,13.4945849,103.7796764,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Wat Neam Rub"", ""religion"": ""buddhist""}"
node,539342708,Wat Lavea,,,cultural,place_of_worship,,13.4851778,103.7155319,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Wat Lavea"", ""religion"": ""buddhist""}"
node,539342713,Wat Slat Rum Chey,,,cultural,place_of_worship,,13.5406484,103.8143575,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Wat Slat Rum Chey"", ""religion"": ""buddhist""}"
node,539342726,Wat Kdei Run,,,cultural,place_of_worship,,13.6246209,103.622202,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Wat Kdei Run"", ""religion"": ""buddhist""}"
node,539342737,Spean Preah Chang-ae (Ancient Bridge),,ស្ពានព្រះចង្អែរ,cultural,ruins,,13.74088,103.648875,,,,,,,,"One of the many historic bridges built by King Jayavarman VII that spans the Royal roads leading out from Angkor to the far stretches of the empire. This one in particular has evidence of a naga balustrade, has 9 arches and spans 47m x 9m",,,"{""alt_name"": ""Spean Preah Chang-er, Spean Thma"", ""description"": ""One of the many historic bridges built by King Jayavarman VII that spans the Royal roads leading out from Angkor to the far stretches of the empire. This one in particular has evidence of a naga balustrade, has 9 arches and spans 47m x 9m"", ""historic"": ""ruins"", ""name"": ""Spean Preah Chang-ae (Ancient Bridge)"", ""name:km"": ""ស្ពានព្រះចង្អែរ"", ""note"": ""13.74075, 103.64887\nBuilder\tJayavarman VII\nArt Style\tBayon\nMaterial\tLaterite"", ""ruins"": ""bridge"", ""start_date"": ""12th Century""}"
node,539342747,Wat Svay Sor,,,cultural,place_of_worship,,13.7984531,103.7509964,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Wat Svay Sor"", ""religion"": ""buddhist""}"
node,539342749,Wat Prasat,,,cultural,place_of_worship,,13.8395718,103.7812317,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Wat Prasat"", ""religion"": ""buddhist""}"
node,539342756,Svay Chum Pagoda,,,cultural,place_of_worship,,13.7005129,103.6739818,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Svay Chum Pagoda"", ""religion"": ""buddhist""}"
node,539342759,Wat Bott,,,cultural,place_of_worship,,13.7350397,103.6675307,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Wat Bott"", ""religion"": ""buddhist""}"
node,539342767,Wat Damnak,,,cultural,place_of_worship,,13.6897756,103.7658029,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Wat Damnak"", ""religion"": ""buddhist""}"
node,539342782,Wat Prasat Thnung,,,cultural,place_of_worship,,13.6528501,103.6798118,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Wat Prasat Thnung"", ""religion"": ""buddhist""}"
node,539342806,Prasat Khu,,,cultural,ruins,,13.6721247,103.7405293,,,,,,,,,,,"{""historic"": ""ruins"", ""name"": ""Prasat Khu""}"
node,539342814,Prasat Trav,,ប្រាសាទ​ត្រាវ,cultural,place_of_worship,,13.7064463,103.7422354,,"Prasat Trav, Kok Dong, Angkor Chum, Siem Reap province","13.70644, 103.74227",,,,,"The remains of a lone brick ruin with many interesting objects scattered around the site, albeit damaged pedestals and lions, though definitely of great interest as many sites around this area are long gone with little traces left of the original sites. T",,,"{""addr:city"": ""Prasat Trav, Kok Dong, Angkor Chum, Siem Reap province"", ""addr:street"": ""13.70644, 103.74227"", ""amenity"": ""place_of_worship"", ""description"": ""The remains of a lone brick ruin with many interesting objects scattered around the site, albeit damaged pedestals and lions, though definitely of great interest as many sites around this area are long gone with little traces left of the original sites. T"", ""name"": ""Prasat Trav"", ""name:km"": ""ប្រាសាទ​ត្រាវ"", ""note"": ""Part of\tPrasat Trav\nBuilder\tRajendravarman II\nArt Style\tPre Rup, Khleang\nMaterial\tBrick, Laterite, Sandstone"", ""religion"": ""hindu"", ""start_date"": ""10th Century or 11th Century""}"
node,539342820,Asrom Lokta Esei,,,cultural,place_of_worship,,13.4881863,103.8597819,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""fixme"": ""Add religion"", ""name"": ""Asrom Lokta Esei""}"
node,539342825,Tuol Prasat Srah Kou,,ទួលប្រាសាទស្រះគូ,cultural,place_of_worship,,13.4560173,103.7633694,,Ta Snae,,,,,,,,,"{""addr:city"": ""Ta Snae"", ""amenity"": ""place_of_worship"", ""name"": ""Tuol Prasat Srah Kou"", ""name:km"": ""ទួលប្រាសាទស្រះគូ"", ""religion"": ""hindu""}"
node,539342843,Wat Prei Preah,,វត្តព្រៃព្រះ,cultural,place_of_worship,,13.587529,103.8681252,,"Peak Snaeng, Angkor Thom, Siem Reap province","13.58742, 103.86820",,,,,"The site of a modern temple where one can find a number of nice little surprises. As we suspected from our initial satellite scans, this forested area is a former ancient temple mound site, with numerous artefacts found in the temple complex. 
Of particul",,,"{""addr:city"": ""Peak Snaeng, Angkor Thom, Siem Reap province"", ""addr:street"": ""13.58742, 103.86820"", ""amenity"": ""place_of_worship"", ""description"": ""The site of a modern temple where one can find a number of nice little surprises. As we suspected from our initial satellite scans, this forested area is a former ancient temple mound site, with numerous artefacts found in the temple complex. \nOf particul"", ""name"": ""Wat Prei Preah"", ""name:km"": ""វត្តព្រៃព្រះ"", ""religion"": ""hindu""}"
node,539342844,Wat Saborisaram,,,cultural,place_of_worship,,13.5567977,103.8839069,,,,,,,,,,,"{""amenity"": ""place_of_worship"", ""name"": ""Wat Saborisaram"", ""religion"": ""buddhist""}"
node,539342850,Prasat Char,,ប្រាសាទ​ចារ,cultural,place_of_worship,,13.4776204,103.8048891,,Prasat Char,,,,,,"The site of three ruined towers, two laterite and one brick encircled with a moat that has an east entrance constructed in the 10th century.",,,"{""access"": ""yes"", ""addr:city"": ""Prasat Char"", ""amenity"": ""place_of_worship"", ""description"": ""The site of three ruined towers, two laterite and one brick encircled with a moat that has an east entrance constructed in the 10th century."", ""historic:civilization"": ""angkor_period"", ""name"": ""Prasat Char"", ""name:km"": ""ប្រាសាទ​ចារ"", ""note"": ""13.47756, 103.80476"", ""religion"": ""hindu"", ""ruins"": ""buddhist_temple"", ""start_date"": ""C10""}"
